Title,Sponsor,Submission Deadline,Award Amount,Description
Nila Banton Smith Research Dissemination Support Grant,Sponsor: International Reading Association,Education/Counseling,"$5,000 USD",For work on a research dissemination activity
Institute Of Horticulture Martin Mclaren Horticultural Scholarship,Sponsor: Institute of Horticulture,"Biology/Life Sciences, Agriculture, Environmental Management, Horticulture / Floriculture, Town and Country Planning and Plant Sciences","$26,000 USD","One year post-graduate study at a university of their choice in the USA. This is for graduates in plant or environmental sciences, botany, horticulture or landscape architecture. All  costs paid by the Garden Club of America."
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Browse Awards,N/A,N/A,N/A,N/A
Navarra Award,Sponsor: Foro Europeo - The Business School of Navarra,Finance,"6,950 euros","Scholarship for the Master programs: Master of International Business Administration, Master in Human Resource Management and Master en Dirección de Empresas. The scholarship covers 50% of the tuition fee."
Work Immersion Study Program,Sponsor: Baden-Württemberg Stipendium,"Engineering, Finance and Languages/Linguistics",Varies,"The Work Immersion Study Program in Germany provides an opportunity for community college students to gain practical work experience, improve German language skills, and experience German culture firsthand from June through August. The three-month program starts with a one-month language course in Germany, followed by a 2 month internship with a German  company. German citizens cannot participate."
Wentworth Merit Scholarhip,Sponsor: Wentworth Institute of Technology,Unrestricted,"$1,000 - $20,000","The Merit evaluation is determined by the Admissions Office and begins in mid-January.  The scholarship may be renewed for up to five years, depending on the length of the recipient’s bachelor’s degree program. Recipients must be enrolled full-time (12 classrom credits) and maintain a 2.5 institutional cumulative GPA. Graduate students are not eligible for the Merit award scholarship."
UICC Trish Greene International Cancer Nursing Training Workshops,Sponsor: Oncology Nursing Society and Oncology Nursing Society foundation,Medicine and Health Sciences,"$2,000-$3,000 USD",Provide an opportunity for qualified nurses to augment their professional knowledge and to experience cancer nursing skills through a 3 to 5 day teaching and training workshop by to 3 experts
International Cancer Technology Transfer Fellowships,Sponsor: various sponsors,Medicine and Health Sciences,"$3,400 USD","Facilitate rapid international transfer of cancer research and clinical technology, exchange knowledge and enhance skills in basic, clinical, behavioral and epidemiological areas of cancer research, cancer control and prevention, acquire appropriate clinical management, diagnostic and therapeutic expertise for effective application and use in the home organization upon return"
Frank Zeidler International Scholar,"Sponsor: Department of History, U. Wisconsin-Milwaukee",History,$2000,Supplements teaching fellowship with travel between home country and Milwaukee for MA degree candidates in American history at UW-M.
Takis Chrysanthou Honored Scholar Award,Sponsor: Global Learning Semesters,Unrestricted,"$2,500 USD","This study abroad award is offered to one student each semester - a $2,500 discount, credited against fees. The selection is based on academics, expected group contribution, and financial need."
Palmer B. Carson-PFLAG Regional Scholarships,"Sponsor: Parents, Families and Friends of Lesbians and Gays (PFLAG) National",Unrestricted,"$1,000 USD","Be a graduating high school senior entering higher education for the first time in fall. Self identify as either a gay, lesbian, bisexual, transgender person, or as a supporter of gay, lesbian, bisexual or transgender people. Demonstrate an interest in service to the GLBT community. Have applied to an accredited higher education institution in pursuit of either an associates degree leading to transfer credits towards a bachelors degree, or a bachelors degree program at a four-year college"
CUHK School Of Law Master Of Laws Scholarship Scheme,Sponsor: CUHK School of Law,Law / Criminal Justice,"80,000 HK Dollar","The School of Law of The Chinese University of Hong Kong (CUHK) proudly announces the introduction of the &quot;CUHK School of Law Master of Laws Scholarship Scheme.&quot;   Each year, the School of Law at CUHK will seek to assist students from around the world to join the Schools postgraduate programs through the award of scholarships."
"Grants, Scholarships And Fellowships from UFAW",Sponsor: Universities Federation for Animal Welfare,Unrestricted,Variable,For improvements to the welfare of animals. Study location must be approved by UFAW council.
Alessandria Campus Project,Sponsor: Politecnico di Torino and Comune di Alessandria,Engineering,"10,000 euro",Scholarships and other benefits to graduate from the Politecnico di Torino attending a Bachelor of Science or 1st level Specializing Master course in Engineering at the Alessandria campus.
In-state Tuition Scholarship at Minnesota State University Mankato,Sponsor: Minnesota State University Mankato,Unrestricted,"$3,000 USD per semester","The purpose of the Cultural Contribution In-State Tuition Scholarship is to award international students who achieve excellent academic performance and cross-cultural understanding, both on-and-off campus.    Minnesota State University, Mankato has established factors to be considered when awarding resident tuition scholarships to international students who are in proper non-immigrant F-1 and J-1 status. The In-State Scholarship Selection Committee will monitor the criteria."
Bogigian Scholarship For Armenian Students,Sponsor: Wilson College,Unrestricted,"$1,500-$30,000 USD","A tuition scholarship will be offered to a full-time female, residential undergraduate student attending Wilson College.  Recipients must be of Armenian descent with a preference for citizens of Armenia."
APA/AIA Minority Scholarship,Sponsor: Archaeological Institute of America and American Philological Association,Classics,"Variable, $3,000 USD maximum","Scholarship to further an undergraduates preparation for graduate work in Classics or Classical Archaeology, at summer programs or field schools."
John F. Kennedy Award,Sponsor: Schiller International University,Unrestricted,One fourth Tuition,Fifty one-fourth tuition awards are available to students possessing an outstanding academic record and who exhibit excellent potential for academic achievement. This award is available for one or two semesters at any Schiller International University campus.
AAHOA Award,Sponsor: Schiller International University,Unrestricted,One quarter of tuition,"50 one-quarter tuition awards are available to members/students of the Asian American Hotel Owners Association, for one academic year and a summer session at any campus of Schiller International University"
Juan Ponce De Leon Award,Sponsor: Schiller International University,Unrestricted,One third of tuition,15 one-third tuition awards are available to new students with Spanish citizenship. Applicants must be currently study or working in Spain with a desire to enroll full time in an undergraduate or graduate degree program. This award applies for Fall and Spring semesters for one academic year of undergraduate or to all terms of study toward a graduate degree. Applicants must have a satisfactory academic record and demonstrate financial need to qualify. Recipients MUST spend their first semester of study at the Madrid campus of Schiller International University.
Fulbright Police Research Fellowship,Sponsor: The US-UK Fulbright Commission,Unrestricted,"$3,600 per month","In this Award category, up to three grants are offered to active UK police officers and staff from all ranks to conduct research, pursue professional development and/or assess best practice affiliated with any US institution for a period of three to five months. Candidates choose and make arrangements with US host institutions directly and independently. In exchange for serving as host, Police Research Scholars can be a resource for US institutions by offering to speak to students and faculty about policing and criminal justice in the UK."
International Baccalaureate Scholarship at the College of Idaho,Sponsor: The College of Idaho,Unrestricted,"$11,000 USD","All I.B. Diploma seeking students are eligible for a $11,000 per year scholarship, renewable for up to four years.  Certificate candidate students are eligible for a $7,500 scholarship, also renewable for four years. (Note: This scholarship is only available to students who matriculate at The College of Idaho.)"
MIT Portugal Program: PhD In Bio Engineering,Sponsor: MIT Portugal Program,Engineering,"17,000 euros per year","The MIT Portugal Program, a collaboration between MIT and eight Portuguese universities, offers PhD and Executive Masters programs in Portugal with MIT faculty support."
BWPI/IDPM Poverty & Development Masters Scholarship,Sponsor: Brooks World Poverty Institute/ Institute for Development Policy & Management,"Political Science/Social Science, Sustainable Development, International Relations, Humanities and Anthropology","3,000 GBP","5 awards of £3000 for study on the MSC Poverty and Development within IDPM, University of Manchester"
MIT - Zaragoza Dual Degree Scholarships,Sponsor: MIT - Zaragoza Logistics Center,"Business/Management, Computer & Information Systems, Engineering, Mathematics, Transportation/Logistics...","EUR 6,000 - EUR 24,000","ZLC will award a number of scholarships consisting of reduction in tuition for the MIT-Zaragoza Master
of Engineering in Logistics and Supply Chain Management (ZLOG) program, which currently amounts
to €24,000. The reduction will depend on the applicant’s academic achievements and distinctive
personal accomplishment in addition to an interest in pursuing a career in Logistics and Supply Chain
Management. The available scholarships are:
? Average evaluation grade of 6 - 7.9 Coverage: 25 % (€6,000) reduction in tuition
? Average evaluation grade of 8 - 8.9 Coverage: 50 % (€12,000) reduction in tuition
? Average evaluation grade of 9 - 10 Coverage: 100 % (€24,000) reduction in tuition
The scholarship will not include other costs such as the administrative fee, living or travel expenses to
Zaragoza or to Boston for the international exchange. Scholarships are awarded only to students who have been admitted to the MIT-Zaragoza Master of
Engineering in Logistics and Supply Chain Management (ZLOG) program through ZLC‘s regular
admissions procedure.
Candidates will be expected to show extraordinary potential for leadership and professional success,
bringing new vision and commitment to the area of Logistics and Supply Chain Management.
Furthermore, to be eligible, candidates must comply with the following criteria: 
2
? Granted admission to the MIT-Zaragoza Master of Engineering in Logistics and Supply Chain
Management (ZLOG) program.*
? Evidence of have successfully completed an International MBA in a partner business school.
Exceptions may be granted to candidates who have demonstrated intention to apply for
admission to the partner business school in the following academic year.
? Completion of a four year undergraduate program equivalent to a Bachelor’s Degree.
? Professional excellence with a background or experience in Logistics and Supply Chain
Management, or exceptional academic achievement.
? Competitive GMAT or GRE score. Exceptions may be granted to individuals who have
demonstrated strong professional and/or academic achievement in completing a college
degree - including some quantitative training and evidence of advanced verbal and written
proficiency in the English language.
? Fluency in English, competitive IELTS or TOEFL score. Exceptions may be granted to
individuals who have demonstrated evidence of advanced verbal and written proficiency in the
English language."
MIT - Zaragoza Supporting Promising Professionals in Logistics and SCM,Sponsor: MIT - Zaragoza Logistics Center,"Business/Management, Computer & Information Systems, Engineering, Mathematics, Transportation/Logistics...","EUR 6,000 - EUR 24,000","Zaragoza Logistics Center (ZLC) currently provides a number of scholarships each year for students
of the MIT-Zaragoza Master of Engineering in Logistics and Supply Chain Management (ZLOG)
program.
The objective with these scholarships is to assure financial aid for outstanding students and thereby
help ensure that financial circumstances are no bar to the most promising candidates having access to
the world-class education that we offer. Furthermore, in so doing, we also create and promote an
economic diversity in our classrooms. ZLC will award a number of scholarships consisting of reduction in tuition for the MIT-Zaragoza Master
of Engineering in Logistics and Supply Chain Management (ZLOG) program, which currently amounts
to €24,000. The reduction will depend on the applicant’s academic achievements and distinctive
personal accomplishment in addition to an interest in pursuing a career in Logistics and Supply Chain
Management. The available scholarships are:
? Average evaluation grade of 6 - 7.9 Coverage: 25 % (€6,000) reduction in tuition
? Average evaluation grade of 8 - 8.9 Coverage: 50 % (€12,000) reduction in tuition
? Average evaluation grade of 9 - 10 Coverage: 100 % (€24,000) reduction in tuition
The scholarship will not include other costs such as the administrative fee, living or travel expenses to
Zaragoza or to Boston for the international exchange."
Fulbright Multiple Sclerosis Society Research Award,"Sponsor: US-UK Fulbright Commission, Multiple Sclerosis Society",Medicine and Health Sciences,"75,000 GBP","Each year, one award is offered in conjunction with the Multiple Sclerosis Society to a UK citizen in support of research into the clinical or biomedical aspects of MS, or the social or economic conditions of sufferers, at any accredited US institution, for a period of 12 months."
PhD Studentships On The Reception Of Thucydides,Sponsor: Arts & Humanities Research Council (AHRC),"Political Science/Social Science, History, International Relations, Peace and Conflict Studies, Political Science and Humanities","16,380 GBP per year","Two PhD studentships to explore reception of Thucydides since the Renaissance.  One student would research reception of Thucydides within historiography, and the other within social and political theory/philosophy."
Entomological Foundation Bioquip Undergraduate Scholarship,"Sponsor: Bioquip Products, Inc. and the Entomological Foundation, Inc.",Agriculture,"$1,500-$2000","One-time award for undergraduate majoring in entomology, biology, or related science. Based on grades, need, and commitment."
Roehampton University 2025 Scholarship,Sponsor: Roehampton University,Unrestricted,"4,000 GBP","20 of these scholarships are available to students at all levels of study, including postgraduate research.  This scholarship cannot be combined with other University scholarships."
ExxonMobil Middle East And North Africa Scholars Program,Sponsor: Institute of International Education,Engineering and Finance,Varies,The ExxonMobil Middle East and North Africa Scholars Program is a scholarship program which provides select student leaders with a fully-funded scholarship towards the completion of a Masters or PhD degree. This scholarship is funded by ExxonMobil and administered by the Institute of International Education (IIE).
GSPAS Ph.D. Full Scholarship,Sponsor: Graduate School of Public Administration,Political Science/Social Science,"10,000 Baht","GSPA scholarships are for Ph.D. Program of Development Administration granted to foreign students, financial support needed to promote international understanding and scholarly fraternity."
Malmberg Scholarship For Study In Sweden,Sponsor: The American Swedish Institute,Unrestricted,"Up to $10,000 USD",Awarded to either a student enrolled in a degree-granting program at an accredited college in the U.S. or a qualified scholar engaged in study or research in the U.S.
Gsba Ph.d. Full Scholarship,Sponsor: Graduate School of Business Administration,Finance,"40,000 Baht","GSBA scholarships are for Ph.D. Programs in Finance granted to foreign students, financial support needed to promote international understanding and scholarly fraternity."
Scholarships For Master And PhD Programmes,Sponsor: Graduate Institute of International and Development Studies,"Sustainable Development, Economics, History, International Relations, Peace and Conflict Studies and Political Science","18,000 CHF","A substantial number of scholarships is allotted each year by the Institute to Master and Ph.D. students on the basis of academic merit and financial need. There are three kinds of scholarships: full scholarships, partial scholarships and tuition scholarships. Their duration is of one year with possible renewals."
Chosun University Post-doctoral Fellowship,"Sponsor: SOC Design Lab, Chosun University","Communications, Computer & Information Systems and Engineering",Variable,Research Areas  1) Circuit/ASIC/SOC design for Communication / Bio-medical signal processing or  2) Algorithm development (using C or MATLAB) for Communication / Bio-medical signal processing
Stella Blum Research Grant,Sponsor: Costume Society of America,Unrestricted,"$2,000 USD",For members of the Costume Society of America with research projects in the field of North American Costume
50% Scholarship For Italian Course In Liguria,Sponsor: Scuola di lingua Poliedro,Languages/Linguistics,50% of course price,50% discount on the Italian standard group course; 2 week duration; 4 hours/day.
IOE Centenary Masters Scholarship,Sponsor: Institute of Education,Education,"£14,000",The scholarship will support international students on full-time taught Masters course at the IOE.  The scholarships cover the cost of tuition fees.
Cascade & Siskiyou International Student Scholarship,Sponsor: Southern Oregon University,Unrestricted,"$6,525-8,775 academic year",Partial tuition remission scholarship
Affirmative Action Scholarship,Sponsor: Special Libraries Association,Library Science,"$6,000 USD",For graduate study in librarianship leading to a masters degree.
SLA Scholarship,Sponsor: Special Libraries Association,Library Science,"$6,000 USD",For graduate study in librarianship leading to masters degree
Scholarship for the Political Transformation Workshop,Sponsor: European Academy of Diplomacy,Unrestricted,535 euro,"The European Academy of Diplomacy (EAD) is announced a Call for Applications for the 1st edition of the “Political Transformation Workshop: Western Balkans and Turkey” which will be held between June 3rd and 7th in Poland. The aim of the week-long workshop is to explore current transformational processes in the Western Balkans and Turkey from the European Union perspective. During the workshop, the participants will have the assessment of the current state of affairs, successes and failures of both the policies of Turkey and Western Balkan states, and the EU’s regional leadership and relationship with each country and also common post-war mediation and reconciliation process of the previous decade in the Balkan region. Furthermore, the participants will gain up-to-date and practical knowledge on public speaking, social media and mediation processes and the know-how necessary to influence the political and social environment they are embedded in. The deadline for applications with scholarship is 21 April."
Academic Excellence Scholarship at University of Alberta,Sponsor: University of Alberta,Unrestricted,Variable,"Conditions: Awarded to students with superior academic achievement entering the first year of an undergraduate degree program at the University of Alberta with less than 24 IB, AP, or A-Level credits. Recipients will be selected on the basis of their final admission average. Transfer students are not eligible for this scholarship.  Full details at: http://www.registrarsoffice.ualberta.ca/Scholarships-and-Awards/Academic-Excellence-Scholarship-Details.aspx"
Minority Fellowship For Neuroscience Training,Sponsor: American Psychological Assocation/ Associationof Neuroscience Departments and Pr,Medicine and Health Sciences,"$10,000-$18,780  USD",Award for US citizen enrolled in a doctoral program.
Guggenheim Fellowship,Sponsor: Smithsonian Institution National Air and Space Museum,"Arts, Visual & Performing","$20,000 USD",Award for a graduate student studying the history of aviation and space flight.
I Want to Study in Malta Contest,Sponsor: Global College Malta,Unrestricted,"€150 cash or €1,500 reduction in tuition fees","Create a video (max 3 minutes) stating why people should study in Malta with Global College Malta.

Participating students can win a monetary prize of €150 or €1,500 reduction in tuition fees on one of our courses (Foundation Course in Management with English or BA in Management)."
Gender Equality in the Market Place Scholarship,Sponsor: Global College Malta,Unrestricted,Up to 50% from tuition fees,"Thousands of women are successfully pursuing their education, careers and leadership roles which until not long ago, were gender equality in the leadership positions by supporting young leaders (men and women) to become the next role models empowering women in the business sector. By supporting new leaders, whose aim is to ensure gender equality, young aspiring women pursuing leadership roles will be further encouraged. As a result, GCM aims at achieving ensuring women emancipation and involvement in high managerial jobs. On these lines, GCM does not discriminate applicants by their background, race or gender."
Felician University International Scholarships,Sponsor: Felician University,Unrestricted,"$1,000 - $15,000","International Student Scholarship Award: $10,000 - $15,000 per year
To be considered for this scholarship, you must:
Take the SATs and score at least a 980 on the Math and Evidence Based Reading and Writing scores.
Have an equivalent to a minimum of a 3.0 grade point average on a 4.0 scale.
International Student Scholarship Award: $5,000 - $10,000 per year
We understand a majority of international students do not take the SATs. The International Award does not require you to submit SAT scores and is awarded based on a complete review of the applicant’s qualifications.

International Transfer Scholarship: $4,500 - $15,000
This scholarship is based on a complete review of your credentials. You will be considered for a Transfer Scholarship if you:
Have more than 12 credits of earned university credit (foreign or domestic).
Have at least a 2.5 GPA in your university work.
Graduate Student Scholarship Award: $1,000
All incoming graduate international students qualify for this $1,000 award that is granted each academic year through completion of your program.

Phi Theta Kappa Scholarship: $3,500
Awarded in addition to your International Transfer Scholarship
Admitted students who are members of Phi Theta Kappa Honors Society will be awarded an additional $3,500 in their scholarship award, for a maximum award possibility of $18,500.
Master’s Alumni Scholarship
Students who graduate from a Felician University undergraduate degree program are eligible for a $100 per credit discount toward their graduate degree at Felician University."
Felician College International Scholarship,Sponsor: Felician College,Unrestricted,"$5,000 - $10,000","At Felician, we understand that a majority of international students do not take the SATs.  The International Award does not require students to submit the SATs and is awarded based on a holistic review of the applicant’s qualifications."
Shepherd University Scholarship Program,Sponsor: Shepherd University,"Music, Digital Arts & Design and Game Design & Development","$2,000 - $20,000 annually","When applying to Shepherd University, a student can qualify for the scholarship program. Shepherd University is pleased to announce that it offers different types of tuition scholarships for the Programs of Music and Digital Arts to both US students and International students."
Bernadette E Schmitt Grant,Sponsor: American Historical Association,Ethnic Studies,"$1,000",For advancement of historical knowledge.
The Monroe International Student Scholarship Program,Sponsor: Monroe College,Computer & Information Systems and Health Professions,up to 3500 per semester,"Awarded to new-to- Monroe undergraduate international F1 matriculated students  who have been nominated by select institutions with a formalized articulation agreement with Monroe College and/or students with an excellent record of academic performance from their high school or prior college attended ; e.g. 3.0 or higher GPA. It may be awarded to US citizens or  permanent residents who reside abroad and commence studies at Monroe College immediately upon entering the United States. The awards are competitive based on the rigor of the high school program or prior college attended. No minimum grade point average guarantees an award.  

Scholarships remain in effect through the completion of undergraduate studies and end upon graduation. Undergraduate students are expected to maintain a cumulative GPA of 3.0, complete a minimum of  12 credits each semester, and maintain continuous enrollment. See special notes concerning continued enrollment eligibility requirements for international students."
GMAT Tutor Brightest Minds MBA scholarship contest,Sponsor: Economist GMAT Tutor,Unrestricted,"$25,000","The scholarship is a competition for all prospective MBA or EMBA students. The winner will be the student that scores the highest on our Economist GMAT Tutor simulation test. The winning student will be awarded a $25,000 scholarship to one of our premiere business school sponsors.

Five runners-up will receive a free subscription to Economist GMAT Tutor's Complete Prep course, worth $550.

The simulation test will require the completion of a 75-minute Verbal section and a 75-minute Quant section. Please ensure you have the available time to complete the test all at once. You will not be able to pause once you begin.

Please ensure that you have read our Contest Rules before beginning. Good Luck."
Hessnatur Scholarship,Sponsor: Hessnatur GmbH,Fashion,"11,000€","ESMOD Berlin is pleased to call for applications for the hessnatur Scholarship to attend the International Masters Programme - Sustainability in Fashion, commencing in October . hessnatur is proud to sponsor the scholarship for the third year, providing tuition support for two outstanding candidates attending the innovative program. 

The Masters Programme is the first of its kind in Germany, which takes a holistic and interdisciplinary approach to sustainable fashion design. Focusing on innovation, the course unifies research, creative practice, education and entrepreneurship to inspire new solutions with critical rigor, to meet the requirements of a growing consciousness in the international fashion industry. hessnatur Managing Director Maximilian Lang says ‘’We are pleased to cooperate with ESMOD Berlin in the development and education of the future pioneers in sustainable fashion. It is integral that industry partners assume responsibility and support education to effect positive change’’. 

One of last year’s scholarship recipients, Ina Budde says of the opportunity, “It is an honor to receive the hessnatur Scholarship. hessnatur’s engagement with young ambitious designers is perfect to advance sustainability in fashion. The scholarship has made it possible to follow my dream and I am proud to be apart of the change, and look forward to propagate their holistic approach.’’

Applications are being sought from candidates internationally with a fashion background in design, marketing or similar and a strong interest in sustainability, with the application deadline, April 1st. For more information regarding the scholarship including application details please contact Lizzie Delfs, Communications and Student Liaison"
Türkiye Scholarships Postgraduate Programme,Sponsor: International Student Council,Unrestricted,Full Scholarship and $375-$500 USD,"Türkiye Scholarships Postgraduate Programmes are full government funded programmes for successful international students from all over the world for postgraduate studies in Turkey.
Postgraduate scholarships are:
Science and Technology Scholarship Programme, Social Sciences Scholarship Programme, Yunus Emre Turkish Language Scholarship Programme, Islamic Theology Scholarship Programme.
Candidates can apply only one scholarship programme in accordance with their educational background and academic goals.
Türkiye Scholarships include both scholarship and university placement at the same time. Applicants will be placed in a university and programme among their preferences specified in the online application form.
Most programmes in Turkish universities are instructed in Turkish. However, some departments and universities offer programmes in English, French or German. The candidates who want to study in these languages need to have an internationally recognized certificate to prove their language proficiency. Also, most of these foreign language programmes may ask international admission test scores such as GRE, GMAT etc. Candidates can check the language of instruction while selecting the programmes.

Application Procedure

Candidates are supposed to;
1.	go to the website listed below
2.	click the online application form,
3.	create an account by entering an e-mail and password,
4.	read the application guide,
5.	log in to the system and fill out the application form,
6.	upload the required documents,
7.	and finally finish the application."
"MS and Phd Scholarship, South Korea",Sponsor: Kumoh National Institute of Technology,Communications and Computer & Information Systems,"about $15,000 US per year","From Dept. of IT Convergence, Kumoh National Institute of Technology (KIT),  is recruiting graduate students (Master and Doctoral student) for Fall Semester Intake (Start September). 

Some research topics in our laboratory are listed below: 

• Wireless network and communication
• Network/communication protocol and standard, cross-layer optimization
• Cognitive radio network, software defined radio, and USRP (Universal Software Radio Peripheral)
• Next Generation Mobile broadband network (LTE, LTE-Advanced, WiMAX, IEEE 802.16m, 5G)
• MIMO and OFDM, NOMA, SIC
• Wireless ad hoc network, mesh network, sensor network
• Industrial and military network
• Real-time system and real-time OS, Mobile OS and application
• Low power and power aware embedded system
• Highly reliability embedded HW/SW

and more (not limited)

If anyone wants to join our departments and research activity, we will support their researches and studies through our lab fellowship (WENS Laboratory) which cover tuition fee, living expense, medical insurance and more.

If you are interested, please visit our webpage and apply though the scholarship pop-up window.

We will contact you if shortlisted."
Purple Scholarships 2014,Sponsor: Unicostaviola,Unrestricted,€ 1000,10 summer scholarships for English mother-tongue students
Ben-Gurion University Undergraduate Research Travel Grant,Sponsor: Ben-Gurion University of the Negev,Unrestricted,"USD $2,500","Every semester, Ben-Gurion University of the Negev (BGU) offers two travel grants of $2,500 to highly qualified students from North America to cover travel expenses within Israel for research as part of a research project, personal enrichment project, research internship, or independent study that complements their immersive experience in the BGU Overseas Student Program. Travel covered by the grant must be undertaken directly before, during, or after the stay at BGU for a semester or academic year of study or research internship."
TURKEY: 50% Tuition Waiver for International Students at Kadir Has University,Sponsor: Kadir Has University,"Architecture & Design, Business/Management, Communications, Computer & Information Systems, Cultural Studies...","$7,150 USD for undergradaute studies, $5,000 USD for Graduate","50% tuition waiver for qualified undergraduate and graduate students:
Undergraduate level: high school GPA at least 70%, national and international high school leaving or university entrance examinations at least C level
Graduate students requirements: GPA at least 3 out of 4"
McKendree University Show Choir Scholarship,Sponsor: McKendree University,Unrestricted,Up to $2000,"The McKendree University Show Choir Program is constantly looking for new and fresh talent to join our team.  We are in search of singers, dancers, and instrumentalists.  The scholarship is non-major specific so you may major in absolutely any field you would like and still receive the scholarship.  The scholarship amount can be awarded upwards of a few thousand dollars for each year in the Show Choir Program.  As McKendree University does not charge out-of-state tuition, we welcome students from every corner of the world to audition for the program.  We strive to provide students with the tools and resources to enhance their performing arts abilities, all while producing elaborate shows, traveling, and serving our community through music."
TUMS School of Nursing and Midwifery Scholarship,Sponsor: School of Nursing and Midwifery,Unrestricted,"$5,766 U.S. Dollar / Year","We understand that your choice of funding/scholarship program is very important to you. There might be funding/scholarship opportunities announced for international students who are interested in pursuing their studies at TUMS. Students who are interested in such announced opportunities are encouraged to include their request and the reason why they should be awarded a scholarship in their letter of motivation. TUMS may allocate its students one of the following types of scholarship:

 

Type C Scholarship:

 

TUMS provides all students with computer labs, library, and Wi-Fi Internet access at the dormitories, as well as a partial lunch plan.

If you apply for and are accepted to receive Type C Scholarship, TUMS provides you with a partial scholarship regarding:

 

accommodation;
Persian language classes for students who are interested or required to attend the classes; and
English language classes for students who are interested or required to attend the classes.
 
If you are awarded a Partial Type C Scholarship, you will receive one or more than one of the different kinds of Type C scholarship as TUMS financial assistance.

 

These scholarships (any kind and any percentage of Type C scholarship) is for your first academic year ONLY and can be extended by TUMS Scholarship Committee on a yearly basis depending on your academic performance at TUMS.

 

The extension of the awarded scholarships follows a yearly basis.

 

To apply for Type C Scholarship, please provide us an official Request Letter and send it to us along with your other required documents through the Online Application Form.

 

**********

 

Type B Scholarship:

 

If you apply for TUMS scholarships and you are considered as one of the qualified applicants, you might be accepted for a Type B scholarship;

 

Type B Scholarship is a Tuition-Waiver Scholarship

 

TUMS provides all students with computer labs, library, and Wi-Fi Internet access at the dormitories, as well as a partial lunch plan. If you apply and are accepted for a TUMS Type B scholarship, along with the above-mentioned facilities, you will be awarded a tuition-waiver scholarship between 1 to 100 percent discount on your first-year education fee based on the scores obtained in your previous degrees.

 

In this case, you should pay the rest of the remaining education fee based on your accepted program. Based on this scholarship, the awarded amount of your first-year education fee will be paid by TUMS.

  

These scholarships (any kind of Type B scholarship) is for your first academic year ONLY and can be extended by TUMS Scholarship Committee on a yearly basis depending on your academic performance at TUMS.

 

The extension of the awarded scholarships follows a yearly basis.

 

To apply for a Type B Scholarship, please provide us an official Request Letter and send it to us along with your other required documents through the Online Application Form.

 

**********

 

Type A Scholarship:

 

TUMS awards Type A scholarship to some Post-Doctorate candidates ONLY. 

 

Type A Scholarship is a Full Tuition-Waiver Scholarship plus a Monthly Stipend

 

Some Post-Doctorate candidates can receive TUMS full tuition-waiver scholarships (100% discount for the education fee) plus a monthly salary based on their research project and scores obtained in previous degrees.

 

TUMS provides all students with computer labs, library, and Wi-Fi Internet access at the dormitories, as well as a partial lunch plan. TUMS provides Type A scholarship winners with:

 

free-of-charge registration,
free first transport from airport in Tehran,
free accommodation,
free health & sport insurance,
free Persian language classes for students who are interested or required to attend the classes.
 

All of the above-mentioned facilities, which totally cost $5,766, will be paid by TUMS. Also, TUMS will pay monthly salary for their life expenses as well."
TUMS School of Pharmacy Scholarship,Sponsor: School of Pharmacy,Unrestricted,"$4,643 U.S. Dollar / Year","When University of Tehran was established in 1934, Pharmacy program was managed with the School of Medicine. At that time, pharmacy program lasted 3 years and required high school diploma. Since 1939 the duration of education changed to 4 years and a Pharm.D. degree has been approved to be granted to the graduates. In 1956, the Pharmacy program was separated from Medicine and a 5- year education was established in the School of Pharmacy. 
Before 1978, the pharmacy education was limited to undergraduate courses, but since 1986 the Ph.D. courses in ten disciplinarians including medicinal chemistry, pharmaceutics, toxicology and pharmacology, pharmacognosy, pharmaceutical biotechnology, food and drugs control , raidiopharmacy, drug economy and management, clinical pharmacy, pharmaceutical nanotechnology, and pharamceutical biomaterial have been established. 
At the present time, School of Pharmacy at Tehran University of Medical Sciences, with about 160 academic members and staff (full professors, associate professors, assistant professors, lecturers, technicians), and 1,200 students, is one of the most dynamic and well-equipped instructional and research academic centers in Iran.
..............................................................................................................................................................................................
At the undergraduate level, the School of Pharmacy accepts international students in Pharm.D. (Doctor of Pharmacy). In addition, international students are accepted at postgraduate level in the following programs: 
..............................................................................................................................................................................................
((Food and Drug Analysis 	 Ph.D.))
((Pharmacoeconomics and Pharmaceutical Management 	 Ph.D.))
((Medicinal Chemistry 	 Ph.D.))
((Radiopharmacy 	 Ph.D.))
((Pharmaceutical Biomaterials 	 Ph.D.))
((Pharmaceutical Biotechnology 	 Ph.D.))
((Pharmaceutical Nanotechnology 	 Ph.D.))
((Pharmaceutics 	 Ph.D.))
((Pharmacognosy 	 Ph.D.))
((Clinical Pharmacy 	 Ph.D.))
((Supervision of Pharmaceutical Affairs 	 M.Sc.))
((Pharmacology and Toxicology 	 M.Sc. 	 Ph.D.))"
